X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_SUBTYPE
-9702380.28237796,3626658.74386068,1722,1222328696,ROYAL CUB ACADEMY,3749 HWY 4,JAY,FL,36525,NOT AVAILABLE,(850) 918-4053,CENTER BASED,OPEN,-999,SANTA ROSA,12113,USA,30.953092,-87.157965,624410,CHILD DAY CARE CENTERS,https://services7.arcgis.com/jf2q3lpxl7petdyk/arcgis/rest/services/providers/featureserver/0,2021/11/30 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CENTER
-9169534.51156469,3462977.37880246,26416,1222294295,A CHILD'S ACADEMY,"3401 NW 34TH ST, STE 1",GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 371-3360,RELIGIOUS FACILITY,OPEN,568,ALACHUA,12001,USA,29.68386,-82.37133,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9162502.45933129,3463647.5393533,26417,1222294297,A CHILD'S DELIGHT AT EDEN PARK,1330 NE 39TH AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 672-6249,CENTER BASED,OPEN,55,ALACHUA,12001,USA,29.68909,-82.30816,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9169575.69977629,3463975.58476495,26418,1222283377,A CHILD'S DREAM PRESCHOOL,4127 NW 34TH ST,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 376-8900,CENTER BASED,OPEN,191,ALACHUA,12001,USA,29.69165,-82.3717,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9169443.22958224,3454176.26716051,26419,1222283410,A HIDDEN CHILD'S WORLD,3237 SW 41ST PL,GAINESVILLE,FL,32608,NOT AVAILABLE,(352) 378-6343,CENTER BASED,OPEN,99,ALACHUA,12001,USA,29.61515,-82.37051,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9161982.59730928,3459783.38321347,26420,1222283886,A TO Z PROFESSIONAL CHILDCARE ACADEMY LLC,1645 NE 8TH AVE,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 338-7723,CENTER BASED,OPEN,36,ALACHUA,12001,USA,29.65893,-82.30349,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9165670.61203926,3464019.15392487,26421,1222294298,A WORLD OF ANGELS OF GAINESVILLE INC,1119 NW 42ND AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 381-0080,CENTER BASED,OPEN,53,ALACHUA,12001,USA,29.69199,-82.33662,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9161246.99811412,3459821.94217749,26422,1222334003,ALACHUA COUNTY SCHOOLS - DUVAL EARLY LEARNING ACADEMY,2106 NE 8TH AVE,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 955-6703,HEAD START,OPEN,50,ALACHUA,12001,USA,29.659231,-82.296882,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9186455.29680426,3442000.89485624,26423,1222334004,ALACHUA COUNTY SCHOOLS - ARCHER ELEMENTARY,14533 SW 170TH ST,ARCHER,FL,32618,NOT AVAILABLE,(352) 495-2111,HEAD START,OPEN,105,ALACHUA,12001,USA,29.52002,-82.523332,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9194083.13095239,3482438.03510768,26424,1222286996,ALACHUA COUNTY SCHOOLS - HIGH SPRINGS COMMUNITY SCHOOL,1015 N MAIN ST,HIGH SPRINGS,FL,32643,NOT AVAILABLE,(386) 454-1958,HEAD START,OPEN,980,ALACHUA,12001,USA,29.835622,-82.591854,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/14 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
